[ 2013-03-29T14:34:04+08:00 ] /weibo/admin.php | INFO: Tag[ view_end ] --START--
[ 2013-03-29T14:34:04+08:00 ] /weibo/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000216s ]
[ 2013-03-29T14:34:04+08:00 ] /weibo/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000247s ]
[ 2013-03-29T14:35:45+08:00 ] /weibo/admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-03-29T14:35:45+08:00 ] /weibo/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000249s ]
[ 2013-03-29T14:35:45+08:00 ] /weibo/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000303s ]
[ 2013-03-29T14:35:45+08:00 ] /weibo/admin.php | INFO: Tag[ view_template ] --START--
[ 2013-03-29T14:35:45+08:00 ] /weibo/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000167s ]
[ 2013-03-29T14:35:45+08:00 ] /weibo/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000219s ]
[ 2013-03-29T14:35:45+08:00 ] /weibo/admin.php | INFO: Tag[ view_parse ] --START--
[ 2013-03-29T14:35:45+08:00 ] /weibo/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.004418s ]
[ 2013-03-29T14:35:45+08:00 ] /weibo/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004483s ]
[ 2013-03-29T14:35:45+08:00 ] /weibo/admin.php | INFO: Tag[ view_filter ] --START--
[ 2013-03-29T14:35:45+08:00 ] /weibo/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000213s ]
[ 2013-03-29T14:35:45+08:00 ] /weibo/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000198s ]
[ 2013-03-29T14:35:45+08:00 ] /weibo/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000107s ]
[ 2013-03-29T14:35:45+08:00 ] /weibo/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000220s ]
[ 2013-03-29T14:35:45+08:00 ] /weibo/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000838s ]
[ 2013-03-29T14:35:45+08:00 ] /weibo/admin.php | INFO: Tag[ view_end ] --START--
[ 2013-03-29T14:35:45+08:00 ] /weibo/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000221s ]
[ 2013-03-29T14:35:45+08:00 ] /weibo/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000257s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000241s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000290s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php | INFO: Tag[ view_template ] --START--
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000137s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000174s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php | INFO: Tag[ view_parse ] --START--
