[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000162s ]
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000365s ]
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001161s ]
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Tag[ view_end ] --START--
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000361s ]
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000431s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000244s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000294s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php | INFO: Tag[ view_template ] --START--
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000135s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000179s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.006836s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006916s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000321s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000338s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000165s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000365s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001367s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php | INFO: Tag[ view_end ] --START--
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000342s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000393s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ route_check ] --START--
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | INFO: Run CheckRoute Behavior [ RunTime:0.000511s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ route_check ] --END-- [ RunTime:0.000589s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ app_begin ] --START--
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000358s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000405s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.002043s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | SQL: SELECT COUNT(*) AS tp_count FROM `hd_user` LIMIT 1   [ RunTime:0.000620s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | SQL: SELECT COUNT(*) AS tp_count FROM `hd_user` WHERE ( `lock` = 1 ) LIMIT 1   [ RunTime:0.000453s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | SQL: SHOW COLUMNS FROM `hd_weibo` [ RunTime:0.001932s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | SQL: SELECT COUNT(*) AS tp_count FROM `hd_weibo` WHERE ( `isturn` = 0 ) LIMIT 1   [ RunTime:0.000488s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | SQL: SELECT COUNT(*) AS tp_count FROM `hd_weibo` WHERE ( `isturn` > 0 ) LIMIT 1   [ RunTime:0.000187s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | SQL: SHOW COLUMNS FROM `hd_comment` [ RunTime:0.001576s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | SQL: SELECT COUNT(*) AS tp_count FROM `hd_comment` LIMIT 1   [ RunTime:0.000198s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_template ] --START--
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | INFO: Run LocationTemplate Behavior [ RunTime:0.000223s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_template ] --END-- [ RunTime:0.000264s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_parse ] --START--
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | INFO: Run ParseTemplate Behavior [ RunTime:0.006792s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006861s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_filter ] --START--
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | INFO: Run ContentReplace Behavior [ RunTime:0.000264s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | INFO: Run TokenBuild Behavior [ RunTime:0.000279s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000149s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | INFO: Run ShowRuntime Behavior [ RunTime:0.000332s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001170s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_end ] --START--
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | INFO: Run ShowPageTrace Behavior [ RunTime:0.000363s ]
[ 2013-04-01T08:54:56+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_end ] --END-- [ RunTime:0.000415s ]
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ route_check ] --START--
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | INFO: Run CheckRoute Behavior [ RunTime:0.000413s ]
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000470s ]
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000255s ]
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000293s ]
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.000943s ]
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | SQL: SELECT COUNT(*) AS tp_count FROM `hd_user` LIMIT 1   [ RunTime:0.000206s ]
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.001919s ]
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | SQL: SELECT user.id AS id,user.`lock` AS `lock`,user.registime AS registime,userinfo.username AS username,userinfo.face50 AS face,userinfo.follow AS follow,userinfo.fans AS fans,userinfo.weibo AS weibo FROM hd_user user LEFT JOIN hd_userinfo userinfo ON user.id = userinfo.uid LIMIT 0,20   [ RunTime:0.000542s ]
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_template ] --START--
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000238s ]
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000282s ]
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | INFO: Run ParseTemplate Behavior [ RunTime:0.006468s ]
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006515s ]
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | INFO: Run ContentReplace Behavior [ RunTime:0.000219s ]
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | INFO: Run TokenBuild Behavior [ RunTime:0.000278s ]
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000122s ]
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000237s ]
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000957s ]
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_end ] --START--
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000211s ]
[ 2013-04-01T08:54:59+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000241s ]
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ route_check ] --START--
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | INFO: Run CheckRoute Behavior [ RunTime:0.000457s ]
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000546s ]
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000253s ]
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000288s ]
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.002498s ]
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | SQL: SELECT COUNT(*) AS tp_count FROM `hd_user` LIMIT 1   [ RunTime:0.000200s ]
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.001543s ]
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | SQL: SELECT user.id AS id,user.`lock` AS `lock`,user.registime AS registime,userinfo.username AS username,userinfo.face50 AS face,userinfo.follow AS follow,userinfo.fans AS fans,userinfo.weibo AS weibo FROM hd_user user LEFT JOIN hd_userinfo userinfo ON user.id = userinfo.uid LIMIT 0,20   [ RunTime:0.000558s ]
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_template ] --START--
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000291s ]
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000334s ]
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | INFO: Run ParseTemplate Behavior [ RunTime:0.007980s ]
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008030s ]
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | INFO: Run ContentReplace Behavior [ RunTime:0.000284s ]
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | INFO: Run TokenBuild Behavior [ RunTime:0.000255s ]
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000122s ]
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000260s ]
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001035s ]
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_end ] --START--
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000290s ]
[ 2013-04-01T08:56:55+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000325s ]
[ 2013-04-01T08:56:59+08:00 ] /weibo/admin.php/User/lockUser/id/1/lock/1 | INFO: Tag[ route_check ] --START--
[ 2013-04-01T08:56:59+08:00 ] /weibo/admin.php/User/lockUser/id/1/lock/1 | INFO: Run CheckRoute Behavior [ RunTime:0.000370s ]
[ 2013-04-01T08:56:59+08:00 ] /weibo/admin.php/User/lockUser/id/1/lock/1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000421s ]
[ 2013-04-01T08:56:59+08:00 ] /weibo/admin.php/User/lockUser/id/1/lock/1 | INFO: Tag[ app_begin ] --START--
[ 2013-04-01T08:56:59+08:00 ] /weibo/admin.php/User/lockUser/id/1/lock/1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000229s ]
[ 2013-04-01T08:56:59+08:00 ] /weibo/admin.php/User/lockUser/id/1/lock/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000262s ]
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ route_check ] --START--
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | INFO: Run CheckRoute Behavior [ RunTime:0.000471s ]
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000560s ]
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000251s ]
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000287s ]
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.003032s ]
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | SQL: SELECT COUNT(*) AS tp_count FROM `hd_user` LIMIT 1   [ RunTime:0.000178s ]
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.001604s ]
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | SQL: SELECT user.id AS id,user.`lock` AS `lock`,user.registime AS registime,userinfo.username AS username,userinfo.face50 AS face,userinfo.follow AS follow,userinfo.fans AS fans,userinfo.weibo AS weibo FROM hd_user user LEFT JOIN hd_userinfo userinfo ON user.id = userinfo.uid LIMIT 0,20   [ RunTime:0.000398s ]
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_template ] --START--
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000276s ]
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000323s ]
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | INFO: Run ParseTemplate Behavior [ RunTime:0.007011s ]
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007057s ]
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | INFO: Run ContentReplace Behavior [ RunTime:0.000223s ]
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | INFO: Run TokenBuild Behavior [ RunTime:0.000199s ]
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000101s ]
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000234s ]
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000851s ]
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_end ] --START--
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000234s ]
[ 2013-04-01T08:59:20+08:00 ] /weibo/admin.php/User/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000265s ]
[ 2013-04-01T08:59:22+08:00 ] /weibo/admin.php/User/lockUser/id/1/lock/1 | INFO: Tag[ route_check ] --START--
[ 2013-04-01T08:59:22+08:00 ] /weibo/admin.php/User/lockUser/id/1/lock/1 | INFO: Run CheckRoute Behavior [ RunTime:0.000547s ]
[ 2013-04-01T08:59:22+08:00 ] /weibo/admin.php/User/lockUser/id/1/lock/1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000627s ]
[ 2013-04-01T08:59:22+08:00 ] /weibo/admin.php/User/lockUser/id/1/lock/1 | INFO: Tag[ app_begin ] --START--
[ 2013-04-01T08:59:22+08:00 ] /weibo/admin.php/User/lockUser/id/1/lock/1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000330s ]
[ 2013-04-01T08:59:22+08:00 ] /weibo/admin.php/User/lockUser/id/1/lock/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000378s ]
[ 2013-04-01T08:59:22+08:00 ] /weibo/admin.php/User/lockUser/id/1/lock/1 | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.002738s ]
[ 2013-04-01T08:59:22+08:00 ] /weibo/admin.php/User/lockUser/id/1/lock/1 | SQL: UPDATE `hd_user` SET `lock`=1 WHERE ( `id` = 1 ) [ RunTime:0.000269s ]
[ 2013-04-01T08:59:22+08:00 ] /weibo/admin.php/User/lockUser/id/1/lock/1 | INFO: Tag[ view_template ] --START--
[ 2013-04-01T08:59:22+08:00 ] /weibo/admin.php/User/lockUser/id/1/lock/1 | INFO: Run LocationTemplate Behavior [ RunTime:0.000216s ]
[ 2013-04-01T08:59:22+08:00 ] /weibo/admin.php/User/lockUser/id/1/lock/1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000257s ]
