[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.045480s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.045586s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Tag[ view_filter ] --START--
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.001021s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000323s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000124s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000337s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001963s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Tag[ view_end ] --START--
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000323s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000369s ]
[ 2013-03-28T17:07:34+08:00 ] /weibo/index.php/Index/getComment | INFO: Tag[ route_check ] --START--
[ 2013-03-28T17:07:34+08:00 ] /weibo/index.php/Index/getComment | INFO: Run CheckRoute Behavior [ RunTime:0.000777s ]
[ 2013-03-28T17:07:34+08:00 ] /weibo/index.php/Index/getComment | INFO: Tag[ route_check ] --END-- [ RunTime:0.000910s ]
[ 2013-03-28T17:07:34+08:00 ] /weibo/index.php/Index/getComment | INFO: Tag[ app_begin ] --START--
[ 2013-03-28T17:07:34+08:00 ] /weibo/index.php/Index/getComment | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000392s ]
[ 2013-03-28T17:07:34+08:00 ] /weibo/index.php/Index/getComment | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000445s ]
[ 2013-03-28T17:07:34+08:00 ] /weibo/index.php/Index/getComment | SQL: SHOW COLUMNS FROM `hd_comment` [ RunTime:0.004145s ]
[ 2013-03-28T17:07:34+08:00 ] /weibo/index.php/Index/getComment | SQL: SELECT COUNT(*) AS tp_count FROM `hd_comment` WHERE ( `wid` = 26 ) LIMIT 1   [ RunTime:0.000413s ]
[ 2013-03-28T17:07:34+08:00 ] /weibo/index.php/Index/getComment | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.001766s ]
[ 2013-03-28T17:07:34+08:00 ] /weibo/index.php/Index/getComment | SQL: SELECT comment.id AS id,comment.content AS content,comment.time AS time,comment.wid AS wid,userinfo.username AS username,userinfo.face50 AS face,userinfo.uid AS uid FROM hd_comment comment LEFT JOIN hd_userinfo userinfo ON comment.uid = userinfo.uid WHERE ( comment.wid = 26 ) ORDER BY comment.time DESC LIMIT 0,10   [ RunTime:0.000398s ]
[ 2013-03-28T17:08:46+08:00 ] /weibo/index.php/Index/getComment | INFO: Tag[ route_check ] --START--
[ 2013-03-28T17:08:46+08:00 ] /weibo/index.php/Index/getComment | INFO: Run CheckRoute Behavior [ RunTime:0.000510s ]
[ 2013-03-28T17:08:46+08:00 ] /weibo/index.php/Index/getComment | INFO: Tag[ route_check ] --END-- [ RunTime:0.000596s ]
[ 2013-03-28T17:08:46+08:00 ] /weibo/index.php/Index/getComment | INFO: Tag[ app_begin ] --START--
[ 2013-03-28T17:08:46+08:00 ] /weibo/index.php/Index/getComment | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000400s ]
[ 2013-03-28T17:08:46+08:00 ] /weibo/index.php/Index/getComment | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000518s ]
[ 2013-03-28T17:08:46+08:00 ] /weibo/index.php/Index/getComment | SQL: SHOW COLUMNS FROM `hd_comment` [ RunTime:0.002289s ]
[ 2013-03-28T17:08:46+08:00 ] /weibo/index.php/Index/getComment | SQL: SELECT COUNT(*) AS tp_count FROM `hd_comment` WHERE ( `wid` = 26 ) LIMIT 1   [ RunTime:0.000402s ]
[ 2013-03-28T17:08:46+08:00 ] /weibo/index.php/Index/getComment | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.001735s ]
[ 2013-03-28T17:08:46+08:00 ] /weibo/index.php/Index/getComment | SQL: SELECT comment.id AS id,comment.content AS content,comment.time AS time,comment.wid AS wid,userinfo.username AS username,userinfo.face50 AS face,userinfo.uid AS uid FROM hd_comment comment LEFT JOIN hd_userinfo userinfo ON comment.uid = userinfo.uid WHERE ( comment.wid = 26 ) ORDER BY comment.time DESC LIMIT 0,10   [ RunTime:0.000426s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | INFO: Tag[ app_begin ] --START--
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000324s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000420s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `hd_follow` [ RunTime:0.002406s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | SQL: SELECT `follow` FROM `hd_follow` WHERE ( `fans` = '1' )  [ RunTime:0.000315s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `hd_weibo` [ RunTime:0.001018s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.001263s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `hd_picture` [ RunTime:0.001411s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | SQL: SELECT COUNT(*) AS tp_count FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.uid IN ('1','2') ) LIMIT 1   [ RunTime:0.000339s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.uid IN ('1','2') ) ORDER BY weibo.time DESC LIMIT 0,20   [ RunTime:0.000342s ]
