[ 2013-03-04T12:01:18+08:00 ] /weibo/index.php/Login/Images/bottom_logo.gif | ERR: (ThinkException) 非法操作Images
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000383s ]
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000431s ]
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000234s ]
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000268s ]
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000141s ]
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000176s ]
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.004402s ]
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004456s ]
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000210s ]
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000252s ]
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000117s ]
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000243s ]
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000922s ]
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000247s ]
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000280s ]
[ 2013-03-04T12:01:22+08:00 ] /weibo/index.php/Login/Css/login.css | ERR: (ThinkException) 非法操作Css
[ 2013-03-04T12:03:39+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2013-03-04T12:03:39+08:00 ] /weibo/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000375s ]
[ 2013-03-04T12:03:39+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000425s ]
[ 2013-03-04T12:03:39+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ app_begin ] --START--
